Link,originalPrice,salePrice,petiteFlag,curveFlag,maternityFlag,tallFlag,extraTallFlag,XXS,XS,S,M,L,XL,XXL,XXXL,Double_Zero,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28
http://www.renttherunway.com/pdp/items/TA51,100,100,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/BM134,50,50,N,N,N,N,N,N/A,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/BM298,75,75,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/JS18,40,40,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/SLR2,50,50,N,N,N,N,N,N/A,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/BM175,29,29,N,N,N,N,N,N/A,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/BM79,50,50,N,N,N,N,N,N/A,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/MNL2,70,70,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/MNL2,70,70,Y,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/MNL2,70,70,N,N,N,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/SW80,40,40,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/BM316,70,70,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/HA173,85,85,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/NM129,90,90,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/NM129,90,90,Y,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/NM129,90,90,N,N,N,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/NM143,90,90,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/NM143,90,90,Y,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/NM143,90,90,N,N,N,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/MN41,125,125,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/MNL68,75,75,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A
http://www.renttherunway.com/pdp/items/TA53,150,150,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
